"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Contact potentials via wavelet transform for prediction of subcellular localizations in gram negative bacterial proteins,España,Conference Proceedings: Annual International Conference Of The Ieee Engineering In Medicine And Biology Society. Ieee Engineering In Medicine And Biology Society. Conference,1557-170X,2013,35,N/A,643 - 646,10.1109/EMBC.2013.6609582 ,"GUSTAVO ALONSO ARANGO ARGOTY, JORGE ALBERTO JARAMILLO GARZON, CESAR GERMAN CASTELLANOS DOMINGUEZ"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Dinámica Estocástica o Compleja con Información Incompleta: Una Revisión desde el Control,Colombia,Revista Iteckne,1692-1798,2013,10,1,113 - 127, ,"AMALIA DAVILA GOMEZ, PAULA ANDREA ORTIZ VALENCIA, ALEJANDRO PENA PALACIO, EDILSON DELGADO TREJOS, JUAN ALEJANDRO PENA PALACIO"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Wearable and Superhydrophobic Hardware for Ambulatory Biopotential Acquisition,Japón,Conference Proceedings: Annual International Conference Of The Ieee Engineering In Medicine And Biology Society. Ieee Engineering In Medicine And Biology Society. Conference,1557-170X,2013,35,N/A,1847 - 1850,10.1109/EMBC.2013.6609883,"FRANCISCO JAVIER MARTINEZ TABARES, EDILSON DELGADO TREJOS, GERMAN CASTELLANOS DOMINGUEZ"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Stochastic relevance analysis of epileptic EEG signals for channel selection and classification,Japón,Conference Proceedings: Annual International Conference Of The Ieee Engineering In Medicine And Biology Society. Ieee Engineering In Medicine And Biology Society. Conference,1557-170X,2013,35,2013,2104 - 2107,10.1109/EMBC.2013.6609948 ,"LEONARDO DUQUE MUNOZ, CARLOS GUERRERO MOSQUERA, CESAR GERMAN CASTELLANOS DOMINGUEZ"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Managing Imbalanced Data Sets in Multi-label Problems: A Case Study with the SMOTE Algorithm,Alemania,Lecture Notes in Computer Science,0302-9743,2013,8258,N/A,334 - 342,10.1007/978-3-642-41822-8_42 ,"ANDRES FELIPE GIRALDO FORERO, JESUS FRANCISCO RUIZ MUNOZ, JORGE ALBERTO JARAMILLO GARZON, CESAR GERMAN CASTELLANOS DOMINGUEZ"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,A comparison of multi-label techniques based on problem transformation for protein functional prediction,España,Conference Proceedings: Annual International Conference Of The Ieee Engineering In Medicine And Biology Society. Ieee Engineering In Medicine And Biology Society. Conference,1557-170X,2013,35,N/A,2688 - 2691,10.1109/EMBC.2013.6610094 ,"ANDRES FELIPE GIRALDO FORERO, JORGE ALBERTO JARAMILLO GARZON, CESAR GERMAN CASTELLANOS DOMINGUEZ"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Revisión del estado del arte sobre modelos para calcular propiedades ópticas atmosféricas a partir de imágenes digitales,Colombia,Revista Politecnica,1900-2351,2013,19,na,85 - 104, ,"MARTHA CELILIA GUZMAN, ALEJANDRO RESTREPO MARTINEZ"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Estudios de fotoelasticidad: desarrollos y aplicaciones,Colombia,Revista Politecnica,1900-2351,2013,16,na,27 - 36, ,"JUAN CARLOS BRINEZ, ALEJANDRO RESTREPO MARTINEZ, FRANCISCO EUGENIO LOPEZ GIRALDO"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Aplicación del estándar SWEBOK al diseño curricular de ingeniería de sistemas,Colombia,Trilogía,2145-4426,2013,8,8,107 - 114, ,DIEGO ALEJANDRO GUERRERO PENA
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Métricas de similitud aplicadas para análisis de imágenes de fotoelasticidad,Colombia,DYNA,0012-7353,2013,179,na,42 - 50, ,"JUAN CARLOS BRINEZ, ALEJANDRO RESTREPO MARTINEZ, FRANCISCO EUGENIO LOPEZ GIRALDO"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Estimación de distancia con sensores ópticos reflexivos usando redes neuronales con funciones de base radial para aplicaciones embebidas,Colombia,Ingenieria y Universidad,0123-2126,2013,17,1,27 - 40, ,"JUAN SEBASTIAN BOTERO VALENCIA, LUIS JAVIER MORANTES GUZMAN"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,MÉTRICAS DE SIMILITUD APLICADAS PARA ANÁLISIS DE IMÁGENES DE FOTOELASTICIDAD,Colombia,DYNA,0012-7353,2013,79,179,42 - 50, ,"FRANCISCO EUGENIO LOPEZ GIRALDO, ALEJANDRO RESTREPO, ALEJANDRO RESTREPO MARTINEZ, JUAN CARLOS BRINEZ DE LEON"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Predictability of gene ontology slim-terms from primary structure information in Embryophyta plant proteins,Colombia,BMC Bioinformatics,1471-2105,2013,14,68,1 - 11,10.1186/1471-2105-14-68 ,"JORGE ALBERTO JARAMILLO GARZON, JOAN JOSEP GALLARDO CHACON, CESAR GERMAN CASTELLANOS DOMINGUEZ, ALEXANDRE PERERA LLUNA"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Simultaneous rotation,,"orientation and displacement control of birefringent microparticles in holographic optical tweezers  Estados Unidos, Optics Express",1094-4087,2013,21,1,102 - 111,10.1364/OE.21.000102 ,AUGUSTO ARIAS GALLEGO
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Modelo de Dinámica de Sistemas para la Predicción del Comportamiento del Mercado Porcícola,Colombia,Informacion Tecnologica,0718-0764,2013,24,4,117 - 124,10.4067/S0718-07642013000400013,"YONY FERNANDO CEBALLOS, GERMAN SANCHEZ TORRES, MARIBEL URIBE ZAPATA"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Evolución de la Intensidad de Pixeles para Describir la Deformación de Películas Plásticas,Colombia,Tecno Lógicas,0123-7799,2013,Edición,N/A,695 - 707, ,"FRANCISCO EUGENIO LOPEZ GIRALDO, JUAN CARLOS BRINEZ DE LEON, ALEJANDRO RESTREPO"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Estimación de distancia con sensores ópticos reflexivos usando redes neuronales con funciones de base radial para aplicaciones embebidas,Colombia,Ingenieria y Universidad,0123-2126,2013,17,1,27 - 40, ,"JUAN SEBASTIAN BOTERO VALENCIA, LUIS JAVIER MORANTES GUZMAN"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Dinámica estocástica o compleja con información incompleta: una revisión desde el control,Colombia,Revista Iteckne,1692-1798,2013,10,N/A,113 - 127, ,"AMALIA DAVILA GOMEZ, PAULA ANDREA ORTIZ VALENCIA, ALEJANDRO PENA PALACIO, EDILSON DELGADO TREJOS, JUAN ALEJANDRO PENA PALACIO"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,El evento científico,,"un medio para acercar la academia con el sector privado  Colombia, Tecno Lógicas",0123-7799,2013,Edición,N/A,15 - 16, ,FRANCISCO EUGENIO LOPEZ GIRALDO
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Through-focus response of multifocal intraocular lenses evaluated with a spatial light modulator,Estados Unidos,Applied Optics,1559-128X,2012,51,36,8594 - 8598,10.1364/AO.51.008594 ,AUGUSTO ARIAS GALLEGO
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Control PID tipo fraccional para la posición del cabezal de una unidad de CD para aplicaciones en microscopia óptica,Colombia,Revista Iteckne,1692-1798,2012,9,págs:,106 - 117, ,"PAULA ANDREA ORTIZ VALENCIA, LORENA CARDONA RENDON"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Asymmetrical Interleaved DC/DC Switching Converters for Photovoltaic and Fuel Cell Applications¿Part 1: Circuit Generation,,"Analysis and Design  Suiza, Energies",1996-1073,2012,5,11,4590 - 4623,10.3390/en5114590 ,"ELIANA ISABEL ARANGO ZULUAGA, CARLOS ANDRES RAMOS PAJA, JAVIER CALVENTE, ROBERTO GIRAL, SERGIO IGNACIO SERNA GARCES"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,ANÁLISIS DE CLASIFICADORES ESTOCÁSTICOS PARA LA DETECCIÓN EFECTIVA DE SOPLOS CARDIÁCOS A PARTIR DE REGISTROS FONOCARDIOGRÁFICOS,Colombia,Revista De Investigaciones Universidad Del Quindio,1794-631X,2012,23,2,8 - 15, ,"MIGUEL BECERRA BOTERO, CRISTIAN MEJIA ARBOLEDA, MILTON SARRIA PAJA, LEONARDO DUQUE MUNOZ"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Dimensionality Reduction Based on Fuzzy Rough Sets Oriented to Ischemia Detection,Estados Unidos,Conference Proceedings: Annual International Conference Of The Ieee Engineering In Medicine And Biology Society. Ieee Engineering In Medicine And Biology Society. Conference,1557-170X,2012,34,1,5282 - 5285,10.1109/EMBC.2012.6347186 ,"DIANA ALEXANDRA ORREGO METAUTE, MIGUEL ALBERTO BECERRA BOTERO, EDILSON DELGADO TREJOS"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Stochastic Analysis and Classification of 4-Area Cardiac Auscultation Signals Using Empirical Mode Decomposition and Acoustic Features,Polonia,Computers in Cardiology,0276-6574,2012,39,N/A,529 - 532,N/A ,"MIGUEL ALBERTO BECERRA BOTERO, DIANA ALEXANDRA ORREGO METAUTE, CRISTIAN MEJIA, EDILSON DELGADO TREJOS"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Modelo de Gestión de Demanda Energética Usando Tecnologías Inalámbricas,Colombia,Scientia Et Technica,0122-1701,2012,XVII,51,175 - 180, ,"FABIO LEON SUAREZ ALVAREZ, EDILSON DELGADO TREJOS"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,An adaptation of Pfam profiles to predict protein sub-cellular localization in Gram positive bacteria,Estados Unidos,Conference Proceedings: Annual International Conference Of The Ieee Engineering In Medicine And Biology Society. Ieee Engineering In Medicine And Biology Society. Conference,1557-170X,2012,34,1,5554 - 5557,10.1109/EMBC.2012.6347252 ,"GUSTAVO ALONSO ARANGO ARGOTY, JORGE ALBERTO JARAMILLO GARZON, CESAR GERMAN CASTELLANOS DOMINGUEZ"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Improving the prediction of sub-cellular locations of proteins with a particle swarm optimization-based boosting strategy,Estados Unidos,Conference Proceedings: Annual International Conference Of The Ieee Engineering In Medicine And Biology Society. Ieee Engineering In Medicine And Biology Society. Conference,1557-170X,2012,34,N/A,6313 - 6316,10.1109/EMBC.2012.6347437 ,"SEBASTIAN GARCIA LOPEZ, JORGE ALBERTO JARAMILLO GARZON, CESAR GERMAN CASTELLANOS DOMINGUEZ"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Modeling of Colombian Exchange Rate Using Recurrent Neural Networks ARMA-NN,Estados Unidos,Foresight: The International Journal Of Applied Forecasting,1997-4124,2012,1,NA,52 - 52, ,"PAOLA ANDREA SANCHEZ SANCHEZ, FERNAN ALONSO VILLA GARZON"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Revisión (Survey),Acoustic Analysis and Non Linear Dynamics Applied to Voice Pathology Detection: A Review,Estados Unidos,Recent Patents On Signal Processing,2210-6863,2012,2,2,96 - 107, ,"JUAN RAFAEL OROZCO ARROYAVE, JESUS FRANCISCO VARGAS BONILLA, EDILSON DELGADO TREJOS"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,AGRUPAMIENTO DIFUSO EN EL MONITOREO TÉRMICO DE LÍNEAS DE TRANSPORTE DE,Colombia,Revista Politecnica,1900-2351,2012,14,págs:,49 - 56, ,"NELSON DARIO GOMEZ CARDONA, JORGE ALBERTO GOMEZ LOPEZ, HENRY OMAR SARMIENTO MALDONADO"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Epileptic Seizure Identification based on EEG Rhythm Decomposition,China,Ifmbe Proceedings,1680-0737,2012,39,1,363 - 366,10.1007/978-3-642-29305-4_97 ,"LEONARDO DUQUE MUNOZ, JAIRO JOSE ESPINOSA OVIEDO, CESAR GERMAN CASTELLANOS DOMINGUEZ"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Implementación de una metodología para la detección de comandos de voz utilizando HMM,Colombia,Revista De Investigaciones Universidad Del Quindio,1794-631X,2012,23,1,64 - 70, ,"WILLIAM ALBERTO ACOSTA BEDOYA, MILTON SARRIA PAJA, LEONARDO DUQUE MUNOZ"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Evaluación asistida por computador de la viabilidad espermática en humanos,Colombia,Revista Ingeniería Biomédica,1909-9762,2012,6,12,17 - 28, ,"EDGAR ROA GUERRERO, FABIAN CORTES MANCERA, NEIL GUERRERO GONZALEZ, WALTER CARDONA MAYA, LUIS JAVIER MORANTES GUZMAN, EDGAR EDUARDO ROA GUERRERO, WALTER DARIO CARDONA MAYA"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Visual Strehl performance of intraocular lens design with extended depth of focus,Estados Unidos,Optometry and Vision Science,1040-5488,2012,89,12,1702 - 1707,10.1097/OPX.0b013e3182775e1a ,AUGUSTO ARIAS GALLEGO
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,ANALISIS DE LA EFICIENCIA DE DIFRACCION Y DE LA REFLECTIVIDAD DE CONJUGACIÓN DE,Colombia,Revista Politecnica,1900-2351,2011,13,págs:,57 - 64, ,"HENRY OMAR SARMIENTO MALDONADO, JORGE ALBERTO GOMEZ LOPEZ, NELSON DARIO GOMEZ CARDONA"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Incidencia de la segmentación en la obtención de región de interés en imágenes de la palma de la mano,Colombia,Tecno Lógicas,0123-7799,2011,27,n/A,119 - 138, ,"MARIBEL ARROYAVE GIRALDO, ALEJANDRO RESTREPO MARTINEZ, JESUS FRANCISCO VARGAS BONILLA, FRANCISCO VARGAS BONILLA"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Optimización de la segmentación Local Sauvola aplicada a la detección de defectos superficiales en escenas de iluminación no homogenea,Colombia,Tecno Lógicas,0123-7799,2011,27,págs:,53 - 74, ,"JEISON MOLINA CORTES, ALEJANDRO RESTREPO MARTINEZ, JOHN WILLIAN BRANCH BEDOYA"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Revisión (Survey),Hacia la próxima generación de sistemas de Radio sobre Fibra de banda ancha retos tecnológicos en la banda de las ondas milimétricas Colombia,,Ingeniería & Desarrollo,0122-3461,2011,29,02,242 - 265, ,"JHON JAMES GRANADA TORRES, CLAUDIA MILENA SERPA IMBETT, GLORIA MARGARITA VARON DURAN, NEIL GUERRERO GONZALEZ"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Revisión (Survey),Representación efectiva de dinámicas fisiológicas mediante fuzzy rough set: una revisión,Colombia,Revista Iteckne,1692-1798,2011,8,2,204 - 215, ,"DIANA ALEXANDRA ORREGO METAUTE, EDILSON DELGADO TREJOS"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Nonlinear Dynamics for Hypernasality Detection,Alemania,Lecture Notes in Computer Science,0302-9743,2011,7015/2011,N/A,207 - 214, ,"JUAN RAFAEL OROZCO ARROYAVE, SANTIAGO MURILLO RENDON, JESUS FRANCISCO VARGAS BONILLA, EDILSON DELGADO TREJOS, JULIAN DAVID ARIAS LONDONO, CESAR GERMAN CASTELLANOS DOMINGUEZ, JESUS FRANCISCO VARGAS BONILLA"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Robust Pathological voice detection based on component information from HMM,España,Lecture Notes in Computer Science,0302-9743,2011,1,n/a,254 - 261, ,"MILTON ORLANDO SARRIA PAJA, CESAR GERMAN CASTELLANOS DOMINGUEZ"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Tunneling through stacked InAs/InGaAs/InP self-assembled quantum dots in a magnetic field,Estados Unidos,Journal of Applied Physics,0021-8979,2011,110,8,083717 - 083717-5,10.1063/1.3656706 ,"FRANCISCO EUGENIO LOPEZ GIRALDO, BORIS ANGHELO RODRIGUEZ REY, A G SILVA, P S S GUIMARAES, M P PIRES, P L SOUZA, S M LANDI, G S VIEIRA, J M VILLAS BOAS, HERBERT VINCK POSADA"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Testing for nonlinearity in non-stationary physiological time series,Estados Unidos,Conference Proceedings: Annual International Conference Of The Ieee Engineering In Medicine And Biology Society. Ieee Engineering In Medicine And Biology Society. Conference,1557-170X,2011,33,N/A,2671 - 2674,10.1109/IEMBS.2011.6090734 ,"DIEGO LUIS GUARIN LOPEZ, EDILSON DELGADO TREJOS, ALVARO OROZCO GUTIERREZ"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Automatic Selection of Acoustic and Non-linear Dynamic Features in Voice Signals for Hypernasality Detection,Italia,"Proceedings of the Annual Conference of the International Speech Communication Association, INTERSPEECH",1990-9772,2011,2011,N/A,529 - 532,N/A ,"JUAN RAFAEL OROZCO ARROYAVE, SANTIAGO MURILLO RENDON, ANDRES MARINO ALVAREZ MEZA, JULIAN DAVID ARIAS LONDONO, EDILSON DELGADO TREJOS, JESUS FRANCISCO VARGAS BONILLA, CESAR GERMAN CASTELLANOS DOMINGUEZ"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Revisión (Survey),Generación de espacios de representación de firmas dinámicas: Una revisión enfocada al análisis de complejidad,Colombia,Scientia Et Technica,0122-1701,2011,XVI,48,244 - 252, ,"DAVID ESTEBAN AHMEDT ARISTIZABAL, EDILSON DELGADO TREJOS, JESUS FRANCISCO VARGAS BONILLA"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Prediction of protein subcellular localization based on variable-length motifs detection and dissimilarity based classification,Estados Unidos,Conference Proceedings: Annual International Conference Of The Ieee Engineering In Medicine And Biology Society. Ieee Engineering In Medicine And Biology Society. Conference,1557-170X,2011,33,N/A,945 - 948,10.1109/IEMBS.2011.6090213 ,"JORGE ALBERTO JARAMILLO GARZON, GUSTAVO ALONSO ARANGO ARGOTY, SARAH RÖTHLISBERGER, CESAR GERMAN CASTELLANOS DOMINGUEZ"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Revisión (Survey),New elements of relativistic electrodynamics for generating useful work from permanent magnets: A review,Colombia,Revista Iteckne,1692-1798,2011,8,1,70 - 78, ,"ALEX OMAR GALINDO PALACIO, EDILSON DELGADO TREJOS, CARLOS ALBERTO ACEVEDO ALVAREZ"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Método para el Diagnóstico de Rodamientos Utilizando la Complejidad de Lempel-Ziv,Colombia,Tecno Lógicas,0123-7799,2011,2011,26,89 - 112, ,"DIEGO LUIS GUARIN LOPEZ, ALVARO OROZCO GUTIERREZ, EDILSON DELGADO TREJOS"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Desarrollo de filtro pasa banda larga con ceros de transmisión para sistemas de comunicación Ultra-Wideband,Colombia,Revista Iteckne,1692-1798,2011,8,1,54 - 61, ,SARA MARIA YEPES ZULUAGA
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Metodología para la implementación de controlador difuso tipo Takagi-Sugeno en PLC s7-300,Colombia,Tecnura,0123-921X,2011,30,N/A,44 - 51, ,CRISTIAN GUARNIZO LEMUS
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Methodology for Epileptic Episode Detection Using Complexity-Based Features,Alemania,Lecture Notes in Computer Science,0302-9743,2011,6687/2011,N/A,454 - 462, ,"JORGE ANDRES GOMEZ GARCIA, CAROLINA OSPINA AGUIRRE, EDILSON DELGADO TREJOS, CESAR GERMAN CASTELLANOS DOMINGUEZ"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Micro-deformation measurement on the concrete roadway surface slabs using Fiber Bragg Gratting and analysis by computational simulation,Estados Unidos,Journal of Physics: Conference Series,1742-6596,2011,274,NA,1 - 6,:10.1088/1742-6596/274/1/012009 ,"CLAUDIA MILENA SERPA IMBETT, NELSON DARIO GOMEZ CARDONA, FRANCISCO JAVIER VELEZ HOYOS"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Micro-deformation measurement on the concrete roadway surface slabs using Fiber Bragg Grating and analysis by computational simulation,Estados Unidos,Journal of Physics: Conference Series,1742-6596,2011,274,1,1 - 6,10.1088/1742-6596/274/1/012009 ,"CLAUDIA MILENA SERPA IMBETT, NELSON DARIO GOMEZ CARDONA, FRANCISCO JAVIER VELEZ HOYOS"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Análisis de la transmisión de tramas STM-N sobre un enlace de fibra óptica DWDM,Colombia,Tecno Lógicas,0123-7799,2010,25,NA,97 - 108, ,"JULIO AGUDELO RAMIREZ, FABIAN MEJIA BUILES, NELSON DARIO GOMEZ CARDONA, CLAUDIA MILENA SERPA IMBETT, NELSON DARIO GOMEZ CARDONA"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Análisis de la transmisión de tramas STM-N sobre un enlace de fibra óptica DWDM,Colombia,Tecno Lógicas,0123-7799,2010,25,N/A,97 - 108, ,"JULIO AGUDELO RAMIREZ, FABIAN MEJIA BUILES, NELSON DARIO GOMEZ CARDONA, CLAUDIA MILENA SERPA IMBETT"
